ID,Imprint,Status,Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,analysis_id,Grouping
21,ST8SIA1,Paternal,Frequency of inability to cease drinking in last year,20413,continuous,,Online follow-up > Mental health > Alcohol use,,51410,,4.72E-07,0.045727924,continuous-20413-both_sexes--,Mental or Behavioural Disorder
22,ST8SIA1,Paternal,Frequency of feeling guilt or remorse after drinking alcohol in last year,20409,continuous,,Online follow-up > Mental health > Alcohol use,,51440,,5.50E-06,0.043635842,continuous-20409-both_sexes--,Mental or Behavioural Disorder
31,NPAP1,Paternal,Current tobacco smoking,1239,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,281266,,4.31E-06,,continuous-1239-both_sexes--,Mental or Behavioural Disorder
40,DSCAM,Paternal,Current tobacco smoking,1239,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,281266,,1.37E-09,0.017922756,continuous-1239-both_sexes--,Mental or Behavioural Disorder
41,DSCAM,Paternal,F10 Mental and behavioural disorders due to use of alcohol,130854,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,5462,276123,5.99E-06,0.156882188,icd_first_occurrence-130854-both_sexes--,Mental or Behavioural Disorder
44,DSCAM,Paternal,Townsend deprivation index at recruitment,189,continuous,,Population characteristics > Baseline characteristics,,281251,,6.46E-05,0.030662318,continuous-189-both_sexes--irnt,Mental or Behavioural Disorder
4,GPR1,Paternal,Mean FA in retrolenticular part of internal capsule on FA skeleton (left),25077,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,3.87E-05,-0.073427417,continuous-25077-both_sexes--irnt,Nervous System
7,CCDC71L,Paternal,Volume of grey matter in Planum Polare (left),25868,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,2.41E-05,,continuous-25868-both_sexes--irnt,Nervous System
18,ZC3H12C,Paternal,Other neurological problem,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1129,280414,3.43E-05,0.158239359,categorical-20002-both_sexes-1434-,Nervous System
19,ZC3H12C,Paternal,"G98 Other disorders of nervous system, not elsewhere classified",131124,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,1171,280414,4.23E-05,0.155641566,icd_first_occurrence-131124-both_sexes--,Nervous System
28,DLK1,Paternal,"Forced expiratory volume in 1-second (FEV1), predicted",20153,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,84144,,5.16E-05,-0.023643381,continuous-20153-both_sexes--irnt,Respiratory
39,ZFP90,Paternal,Emphysema/chronic bronchitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,3840,277703,5.42E-05,0.083073154,categorical-20002-both_sexes-1113-,Respiratory
5,HECW1,Paternal,Retinal operation/vitrectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1697,279846,7.10E-05,0.105842696,categorical-20004-both_sexes-1437-,Sensory System
